Running Order	Country	Artist	Song
1	🇲🇹 Malta	Sarah Bonnici	Loop
2	🇦🇱 Albania	Besa	Titan
3	🇬🇷 Greece	Marina Satti	Zari
4	🇨🇭 Switzerland	Nemo	The Code
5	🇨🇿 Czechia	Aiko	Pedestal
6	🇦🇹 Austria	Kaleen	We Will Rave
7	🇩🇰 Denmark	Saba	Sand
8	🇦🇲 Armenia	Ladaniva	Jako
9	🇱🇻 Latvia	Dons	Hollow
10	🇸🇲 San Marino	Megara	11:11
11	🇬🇪 Georgia	Nutsa Buzaladze	Firefighter
12	🇧🇪 Belgium	Mustii	Before the Party's Over
13	🇪🇪 Estonia	5miinust and Puuluup	(Nendest) narkootikumidest ei tea me (küll) midagi
14	🇮🇱 Israel	Eden Golan	Hurricane
15	🇳🇴 Norway	Gåte	Ulveham
16	🇳🇱 Netherlands	Joost Klein	Europapa
