Running Order	Country	Artist	Song
1	🇧🇬 Bulgaria	Dara	Bangaranga
2	🇦🇿 Azerbaijan	Jiva	Just Go
3	🇷🇴 Romania	Alexandra Căpitănescu	Choke Me
4	🇱🇺 Luxembourg	Eva Marija	Mother Nature
5	🇨🇿 Czechia	Daniel Žižka	Crossroads
6	🇦🇲 Armenia	Simón	Paloma Rumba
7	🇨🇭 Switzerland	Veronica Fusaro	Alice
8	🇨🇾 Cyprus	Antigoni	Jalla
9	🇱🇻 Latvia	Atvara	Ēnā
10	🇩🇰 Denmark	Søren Torpegaard Lund	Før vi går hjem
11	🇦🇺 Australia	Delta Goodrem	Eclipse
12	🇺🇦 Ukraine	Leléka	Ridnym
13	🇦🇱 Albania	Alis	Nân
14	🇲🇹 Malta	Aidan	Bella
15	🇳🇴 Norway	Jonas Lovv	Ya Ya Ya
